MSOA code,Total annual income,,,
E02001136," 39,200 ",,,
E02001137," 46,600 ",,,
E02001138," 46,100 ",,,
E02001139," 30,300 ",,,
E02001140," 34,300 ",,,
E02001141," 28,400 ",,,
E02001142," 50,200 ",,,
E02001143," 33,300 ",,,
E02001144," 37,800 ",,,
E02001145," 41,100 ",,,
E02001146," 30,600 ",,,
E02001147," 32,900 ",,,
E02001148," 34,800 ",,,
E02001149," 29,400 ",,,
E02001150," 34,600 ",,,
E02001151," 40,500 ",,,
E02001152," 34,100 ",,,
E02001153," 30,200 ",,,
E02001154," 34,500 ",,,
E02001155," 33,200 ",,,
E02001156," 42,600 ",,,
E02001157," 28,700 ",,,
E02001158," 29,200 ",,,
E02001159," 35,600 ",,,
E02001160," 34,200 ",,,
E02001161," 36,900 ",,,
E02001162," 33,600 ",,,
E02001163," 43,100 ",,,
E02001164," 35,500 ",,,
E02001165," 37,200 ",,,
E02001166," 34,000 ",,,
E02001167," 37,700 ",,,
E02001168," 38,600 ",,,
E02001169," 51,600 ",,,
E02001170," 49,800 ",,,
E02001171," 45,100 ",,,
E02001172," 29,900 ",,,
E02001173," 25,200 ",,,
E02001174," 40,500 ",,,
E02001175," 38,300 ",,,
E02001176," 37,200 ",,,
E02001177," 35,900 ",,,
E02001178," 38,000 ",,,
E02001179," 35,100 ",,,
E02001180," 22,800 ",,,
E02001181," 32,900 ",,,
E02001182," 31,200 ",,,
E02001183," 36,100 ",,,
E02001184," 40,300 ",,,
E02001185," 37,800 ",,,
E02001186," 38,100 ",,,
E02001187," 37,400 ",,,
E02001188," 36,500 ",,,
E02001189," 39,800 ",,,
E02001190," 26,300 ",,,
E02001191," 38,100 ",,,
E02001192," 50,500 ",,,
E02001193," 41,000 ",,,
E02001194," 52,300 ",,,
E02001195," 39,500 ",,,
E02001196," 41,700 ",,,
E02001197," 43,800 ",,,
E02001198," 35,100 ",,,
E02001199," 49,400 ",,,
E02001200," 29,300 ",,,
E02001201," 41,400 ",,,
E02001202," 37,300 ",,,
E02001203," 56,900 ",,,
E02001204," 43,000 ",,,
E02001205," 36,700 ",,,
E02001206," 42,100 ",,,
E02001207," 44,600 ",,,
E02001208," 41,000 ",,,
E02001209," 41,800 ",,,
E02001210," 34,800 ",,,
E02001211," 47,700 ",,,
E02001212," 34,700 ",,,
E02001213," 45,100 ",,,
E02001214," 43,300 ",,,
E02001215," 44,100 ",,,
E02001216," 49,400 ",,,
E02001217," 37,700 ",,,
E02001218," 51,100 ",,,
E02001219," 47,200 ",,,
E02001220," 47,500 ",,,
E02001221," 48,900 ",,,
E02001222," 44,700 ",,,
E02001223," 51,500 ",,,
E02001224," 44,100 ",,,
