geography code,level_4_qualifications_and_above
E02001003,2479
E02001004,861
E02001005,1076
E02001006,892
E02001007,1435
E02001008,697
E02001009,845
E02001010,655
E02001011,2575
E02001012,976
E02001013,1511
E02001014,1312
E02001015,864
E02001016,735
E02001017,1600
E02001018,1658
E02001019,2403
E02001020,1905
E02001021,2411
E02001022,1549
E02001023,1355
E02001024,1756
E02001025,890
E02001026,999
E02001027,1125
E02001028,1975
E02001029,1023
E02001030,1295
E02001031,1201
E02001032,1124
E02001033,719
E02001034,813
E02001035,1698
E02001036,1269
E02001037,2070
E02001038,1157
E02001039,1107
E02001040,1434
E02001041,1716
E02001042,1806
E02001043,1284
E02001044,1905
E02001045,755
E02001046,1169
E02001047,1216
E02001048,1582
E02001049,1303
E02001050,1073
E02001051,1026
E02001052,2285
E02001053,909
E02001055,824
E02001056,617
E02001057,2017
E02001059,1474
E02001061,1022
E02001062,2234
E02001063,3273
E02001064,1207
E02001065,1023
E02001066,2528
E02001067,1105
E02001068,1367
E02001069,2518
E02001070,2637
E02001071,2212
E02001072,3239
E02001073,4537
E02001074,2649
E02001075,2072
E02001076,2189
E02001077,3508
E02001078,2409
E02001079,1919
E02001080,2399
E02001081,2819
E02001082,3437
E02001083,4342
E02001084,3129
E02001085,1106
E02001086,2397
E02001087,5176
E02001088,1461
E02001089,2965
E02001090,1965
E02001091,1588
E02001092,1155
E02001093,1310
E02001094,705
E02001095,884
E02001096,861
E02001097,836
E02006902,2909
E02006912,4217
E02006913,1901
E02006914,2248
E02006915,1521
E02006916,2681
E02006917,3333
E02001098,1079
E02001099,933
E02001100,1210
E02001101,1268
E02001102,1044
E02001103,1770
E02001104,1057
E02001105,1011
E02001106,932
E02001107,908
E02001108,417
E02001109,823
E02001110,2140
E02001111,440
E02001112,1246
E02001113,631
E02001114,1084
E02001115,1028
E02001116,691
E02001117,1831
E02001118,1646
E02001119,840
E02001121,613
E02001123,709
E02001124,472
E02001125,1015
E02001126,634
E02001127,584
E02001128,809
E02001129,601
E02001130,811
E02001131,621
E02006860,1560
E02001132,1251
E02001133,1309
E02001134,1510
E02001135,582
E02001136,1710
E02001137,1567
E02001138,2470
E02001139,867
E02001140,1035
E02001141,1354
E02001142,1865
E02001143,1164
E02001144,1026
E02001145,1364
E02001146,1053
E02001147,1141
E02001148,1395
E02001149,894
E02001150,878
E02001151,1548
E02001152,1249
E02001153,916
E02001154,1205
E02001155,1021
E02001156,1997
E02001157,504
E02001158,508
E02001159,758
E02001160,718
E02001161,892
E02001162,734
E02001163,1966
E02001164,839
E02001165,851
E02001166,1004
E02001167,1199
E02001168,1440
E02001169,3026
E02001170,3070
E02001171,955
E02001172,1434
E02001173,941
E02001174,1270
E02001175,979
E02001176,2837
E02001177,2227
E02001178,4022
E02001179,939
E02001180,738
E02001181,562
E02001182,694
E02001183,802
E02001184,3748
E02001185,1203
E02001186,1243
E02001187,975
E02001188,1085
E02001189,1511
E02001190,383
E02001191,1144
E02001192,2331
E02001193,1047
E02001194,2275
E02001195,1122
E02001196,1919
E02001197,1804
E02001198,1211
E02001199,2997
E02001200,762
E02001201,914
E02001202,1245
E02001203,2399
E02001204,1810
E02001205,1256
E02001206,1906
E02001207,1422
E02001208,1652
E02001209,1815
E02001210,888
E02001211,1943
E02001212,666
E02001213,2454
E02001214,2293
E02001215,1671
E02001216,2227
E02001217,1268
E02001218,2021
E02001219,1502
E02001220,1557
E02001221,1627
E02001222,1507
E02001223,2524
E02001224,1522
E02001225,2248
E02001226,1484
E02001227,2103
E02001228,2016
E02001229,2382
E02001230,1194
E02001231,1213
E02001232,1005
E02001233,903
E02001234,825
E02001235,1134
E02001236,611
E02001237,1001
E02001238,991
E02001239,920
E02001240,694
E02001241,958
E02001242,935
E02001243,1835
E02001244,865
E02001245,1053
E02001246,736
E02001247,868
E02001248,1135
E02001249,753
E02001250,1150
E02001251,1422
E02001252,1179
E02001253,645
E02001254,596
E02001255,359
E02001256,1063
E02001257,1071
E02001258,1498
E02001259,2089
E02001260,1431
E02001261,1560
E02001262,1938
E02001263,2023
E02001264,1457
E02001265,1540
E02001266,1205
E02001267,1881
E02001268,1683
E02001269,2123
E02001270,2635
E02001271,1326
E02001272,2612
E02001273,3600
E02001274,2685
E02001275,721
E02001276,1621
E02001277,1781
E02001278,2435
E02001279,2609
E02001280,1613
E02001281,2280
E02001282,3146
E02001283,3197
E02001284,3541
E02001285,3361
E02001286,2958
E02001287,1324
E02001288,2024
E02001289,2419
E02001290,1319
E02001291,862
E02001292,2206
E02001293,991
E02001294,1436
E02001295,606
E02001296,470
E02001297,760
E02001298,589
E02001299,1299
E02001300,812
E02001301,910
E02001302,859
E02001303,844
E02001304,2848
E02001305,1249
E02001306,1012
E02001307,2252
E02001308,908
E02001309,1282
E02001310,923
E02001311,1277
E02001312,951
E02001313,859
E02001314,1586
E02001315,1538
E02001316,810
E02001317,1312
E02001318,1195
E02001319,673
E02001320,990
E02001321,1365
E02001322,1437
E02001323,1629
E02001324,1150
E02001325,1771
E02001326,1627
E02005176,1573
E02005177,866
E02005178,732
E02005179,1155
E02005180,1537
E02005181,773
E02005182,644
E02005183,909
E02005184,1262
E02005185,768
E02005186,1246
E02006881,1627
E02005189,845
E02005190,1931
E02005191,2237
E02005192,2332
E02005193,2205
E02005194,1600
E02005195,1847
E02005196,2056
E02005197,951
E02005198,1518
E02005199,1766
E02005200,1512
E02005201,1276
E02005202,2285
E02005203,1620
E02005204,2353
E02005205,1511
E02005206,1349
E02005207,2061
E02005208,2608
E02005209,1639
E02005210,3205
E02005211,2636
E02005212,1913
E02005213,2046
E02005214,1106
E02005215,1551
E02005216,669
E02005217,919
E02005218,1062
E02005219,1670
E02005220,1196
E02005221,2571
E02005222,2054
E02005223,2044
E02005224,1206
E02005225,1604
E02005226,965
E02005228,718
E02005229,730
E02005230,765
E02005231,1297
E02005233,1629
E02005234,2623
E02005235,1552
E02005236,2254
E02005237,3130
E02005238,1466
E02005239,2630
E02006871,2158
E02005240,819
E02005241,857
E02005242,1129
E02005243,707
E02005244,728
E02005245,1760
E02005246,695
E02005247,2909
E02005248,506
E02005249,834
E02005250,909
E02005251,1062
E02005252,1477
E02005253,1715
E02005254,2190
E02005255,2586
E02005256,2200
E02005257,890
E02005258,2327
E02005259,1281
E02005260,1400
E02005261,798
E02005262,1918
E02005263,1038
E02005264,2605
E02005265,1961
E02005266,861
E02005267,790
E02005268,1072
E02005269,2298
E02005270,2147
E02005271,2038
E02005272,1476
E02005273,1570
E02005274,1979
E02005275,1089
E02005276,2579
E02005277,2939
E02005278,2032
E02005279,1850
E02005280,1618
E02005281,1662
E02005284,1496
E02005285,1741
E02005286,1367
E02006884,2010
E02005287,1681
E02005288,1463
E02005289,1803
E02005290,1819
E02005291,1279
E02005292,1027
E02005293,869
E02005294,1006
E02005295,1467
E02005296,1644
E02005297,2047
E02005298,1340
E02005299,1285
E02005300,1127
E02005301,1030
E02005302,1818
E02005303,832
E02005304,1951
E02005305,1545
E02005306,1619
E02005307,1983
E02005308,2306
E02005309,2148
E02005310,1784
E02005311,1577
E02005312,1055
E02005313,757
E02005314,790
E02005315,2561
E02005316,672
E02005317,528
E02005318,1724
E02005319,847
E02005320,709
E02005321,770
E02005322,1862
E02005323,841
E02005324,1728
E02005325,2314
E02005326,1251
E02005327,1398
E02005328,1536
E02005329,1415
E02005330,2025
E02005331,1997
E02005332,2100
E02001327,509
E02001328,1464
E02001329,606
E02001330,850
E02001331,961
E02001332,560
E02001333,1047
E02001334,311
E02001335,1350
E02001336,450
E02001337,752
E02001338,608
E02001339,738
E02001340,1553
E02001341,736
E02001342,1471
E02001343,1502
E02001344,805
E02001345,1034
E02001346,813
E02001347,1007
E02001348,1056
E02001349,1273
E02001350,846
E02001351,827
E02001352,803
E02001353,1375
E02001354,691
E02001355,683
E02001356,448
E02001357,522
E02001358,596
E02001359,1031
E02001360,665
E02001361,703
E02001362,953
E02001363,824
E02001364,401
E02001365,988
E02001366,1235
E02001367,2007
E02001368,558
E02001369,1148
E02001370,441
E02001371,842
E02001372,956
E02001373,1282
E02001374,1399
E02001375,965
E02001376,1147
E02001377,2416
E02001378,1397
E02001380,1752
E02001381,1779
E02001382,1834
E02001383,2163
E02001384,2205
E02001385,1179
E02001386,675
E02001387,3051
E02001388,2814
E02001389,2352
E02001390,979
E02001391,436
E02001392,1711
E02001393,2869
E02001394,3283
E02001395,2016
E02001396,1997
E02001397,1999
E02001398,2783
E02001399,2144
E02001400,1267
E02001401,1701
E02001402,3129
E02001403,962
E02001404,637
E02001405,594
E02006932,2696
E02006933,2247
E02006934,2387
E02001429,1219
E02001430,1685
E02001431,1905
E02001432,1648
E02001433,1323
E02001434,1496
E02001435,1581
E02001436,1761
E02001437,2979
E02001438,1666
E02001439,1130
E02001440,1896
E02001441,2275
E02001442,1808
E02001443,1765
E02001444,1451
E02001445,1572
E02001446,1371
E02001447,1324
E02001448,1473
E02001449,2121
E02001450,2820
E02001451,509
E02001452,565
E02001453,2132
E02001454,1289
E02001455,1072
E02001456,1893
E02001457,642
E02001458,1867
E02001459,841
E02001460,1198
E02001461,836
E02001462,657
E02001463,681
E02001464,601
E02001465,564
E02001466,874
E02001406,2195
E02001407,1487
E02001408,1280
E02001409,1496
E02001410,668
E02001411,825
E02001412,2028
E02001413,1168
E02001414,1794
E02001415,1129
E02001416,433
E02001417,971
E02001418,742
E02001419,639
E02001420,1971
E02001421,1780
E02001422,505
E02001423,1648
E02001424,1942
E02001425,1386
E02001426,960
E02001427,1347
E02001428,1530
E02001467,1656
E02001468,1434
E02001469,1804
E02001470,1978
E02001471,991
E02001472,1205
E02001473,1129
E02001474,517
E02001475,608
E02001476,708
E02001477,556
E02001478,966
E02001479,1686
E02001480,2593
E02001481,1736
E02001482,759
